method,degradation_type,severity_level,accuracy,precision,recall,f1,fpr
Mesh,clean,None,0.3499999999999999,0.5714285714285714,0.4745762711864407,0.5185185185185185,0.2625
ArcFace,clean,None,0.020833333333333332,0.020833333333333332,1.0,0.04075077787814916,0.9791666666666666
Mesh,blur,5,0.325,0.5652173913043478,0.43333333333333335,0.4905660377358491,0.25
ArcFace,blur,5,0.0375,0.0375,1.0,0.07172251616696061,0.9625
Mesh,blur,11,0.3,0.5333333333333333,0.4067796610169492,0.4615384615384615,0.2625
ArcFace,blur,11,0.041666666666666664,0.041666666666666664,1.0,0.0799388028303691,0.9583333333333334
Mesh,blur,21,0.15,0.2926829268292683,0.2352941176470588,0.2608695652173913,0.3625
ArcFace,blur,21,0.008333333333333333,0.008333333333333333,0.6666666666666666,0.01646090534979424,0.9916666666666667
Mesh,noise,10,0.17499999999999996,0.42424242424242425,0.22950819672131148,0.29787234042553196,0.23749999999999996
ArcFace,noise,10,0.041666666666666664,0.041666666666666664,0.6666666666666666,0.0784313725490196,0.9583333333333334
Mesh,noise,25,0.2125,0.4857142857142857,0.27419354838709675,0.3505154639175257,0.225
ArcFace,noise,25,0.041666666666666664,0.041666666666666664,1.0,0.0795722344183045,0.9583333333333334
Mesh,noise,40,0.10000000000000002,0.27586206896551724,0.13559322033898305,0.1818181818181818,0.2625
ArcFace,noise,40,0.029166666666666664,0.029166666666666664,1.0,0.05661671074542071,0.9708333333333333
Mesh,low_light,0.6,0.0,0.0,0.0,0.0,0.025000000000000005
ArcFace,low_light,0.6,0.041666666666666664,0.041666666666666664,1.0,0.0795722344183045,0.9583333333333334
Mesh,low_light,0.4,0.0,0.0,0.0,0.0,0.0
ArcFace,low_light,0.4,0.05416666666666666,0.05416666666666666,1.0,0.10164604109095278,0.9458333333333333
Mesh,low_light,0.2,0.0,0.0,0.0,0.0,0.0
ArcFace,low_light,0.2,0.04583333333333334,0.04583333333333334,1.0,0.08722188062216757,0.9541666666666666
Mesh,occlusion,0.2,0.3499999999999999,0.5714285714285714,0.4745762711864407,0.5185185185185185,0.2625
ArcFace,occlusion,0.2,0.025000000000000005,0.025000000000000005,1.0,0.04858700081869181,0.975
Mesh,occlusion,0.4,0.012500000000000002,0.034482758620689655,0.019230769230769232,0.02469135802469136,0.3499999999999999
ArcFace,occlusion,0.4,0.05833333333333333,0.05833333333333333,1.0,0.10948226403149543,0.9416666666666668
Mesh,occlusion,0.6,0.0,0.0,0.0,0.0,0.0
ArcFace,occlusion,0.6,0.0375,0.0375,1.0,0.07100224318349989,0.9625
